question,text,answer
1,2024 亏损主要是 Native alpha 弱化还是缩放放大？,NOT_ESTIMABLE_IDENTITY_GATE：尚未在身份一致的账户上计算。
2,2026 YTD 亏损主要来自哪一项？,NOT_ESTIMABLE_IDENTITY_GATE：尚未在身份一致的账户上计算。
3,2025 为何产生大量缩放收益？,NOT_ESTIMABLE_IDENTITY_GATE：尚未在身份一致的账户上计算。
4,2024 哪个策略和路线主导损失？,NOT_ESTIMABLE_IDENTITY_GATE：尚未在身份一致的账户上计算。
5,2026 哪个策略和路线主导损失？,NOT_ESTIMABLE_IDENTITY_GATE：尚未在身份一致的账户上计算。
6,2025 哪个策略和路线主导利润？,NOT_ESTIMABLE_IDENTITY_GATE：尚未在身份一致的账户上计算。
7,各年 Full Book 调仓帮助还是伤害？,NOT_ESTIMABLE_IDENTITY_GATE：尚未在身份一致的账户上计算。
8,2024/2026 是否类似 2018–2023 已有坏状态？,NOT_ESTIMABLE_IDENTITY_GATE：尚未在身份一致的账户上计算。
9,2025 是否类似以前的好状态？,NOT_ESTIMABLE_IDENTITY_GATE：尚未在身份一致的账户上计算。
10,哪些事前状态解释增量缩放 P&L？,NOT_ESTIMABLE_IDENTITY_GATE：尚未在身份一致的账户上计算。
11,发现期与确认期方向是否稳定？,NOT_ESTIMABLE_IDENTITY_GATE：尚未在身份一致的账户上计算。
12,是否存在简单 Native/G25 路由器？,NOT_ESTIMABLE_IDENTITY_GATE：尚未在身份一致的账户上计算。
13,目前为什么不能给出路由决策？,父契约与滚动图的初始化协议不同，MCB 运行时资格谓词也被替换；尚未进入状态归因，不能判定有或没有稳定路由器。
14,当前规模的 G25 容量是否可信？,NOT_ESTIMABLE_IDENTITY_GATE：尚未在身份一致的账户上计算。
15,哪个策略构成 G25 主要容量负担？,NOT_ESTIMABLE_IDENTITY_GATE：尚未在身份一致的账户上计算。
16,下一步研究优先级是什么？,先确定并冻结连续账户的权威协议，补足 MCB 行业快照证据，再重建全部 Native/G25 及必要机制对照。之后才是归因、容量与路由资格；本次没有新 alpha 依据。
