family,classification,evidence,limitation,v1_comparison
structural_base,weak predictor,"Base existence AUC was 0.473/0.485/0.463 in discovery/validation/holdout; strict temporal validity was 0.467/0.497/0.451.","Direction is weakly negative and is not a useful positive screen.","Does not overturn the V1 weak-scalar conclusion."
peak_age,weak predictor,"Peak-age AUC was 0.422/0.441/0.436; winners were somewhat younger when a base existed.","Only 31-40% of winner/control events had an available canonical base and the holdout cluster CI included 0.5.","Canonical age adds a hypothesis but not a robust decision feature."
peak_mass,weak predictor,"Peak-mass AUC was 0.436/0.535/0.447.","Low 31-40% coverage and direction changed by split.","Canonical mass does not change the prior weak-feature conclusion."
peak_prominence,weak predictor,"Prominence AUC was 0.436/0.526/0.421.","Low coverage and validation direction opposed discovery/holdout.","Canonical prominence does not provide stable launch separation."
peak_shape,primarily contemporaneous confirmation,"T-5/T-10 changes in peak location and band width separated validation/holdout among available bases; holdout location-change AUC reached 0.765-0.785.","Winner coverage was only 11-22%, raw levels were weak, and longer-lead levels did not strengthen consistently.","Adds local confirmation information but not a broad pre-launch predictor."
base_persistence,weak predictor,"Twenty-session base presence was lower before winners in validation/holdout (AUC 0.461/0.428).","Discovery was near null; binding-run age reversed direction and only 31-40% had exact values.","Mixed temporal evidence does not justify replacing V1 conclusions."
lifecycle_events,weak predictor,"Twenty-session split/merge/lost counts separated discovery and holdout; holdout AUC was about 0.61-0.62.","Validation was null or opposite, so the effect is regime-dependent.","Adds a lifecycle hypothesis, not a stable standalone predictor."
ensemble_ambiguity,meaningful pre-launch predictor,"Ambiguity-rate AUC was 0.544/0.545/0.569 and the holdout symbol-cluster CI was 0.527-0.611; T-20 ambiguity direction was consistent across splits.","Effect size is modest and single-day ambiguity is weaker than persistence.","This is the clearest canonical V3 temporal increment over simple V1 scalars."
scalar_chip,primarily contemporaneous confirmation,"Profit-ratio changes and same-day levels moved strongly near selected troughs; concentration was inconsistent across splits.","Lead profiles frequently attenuated or changed direction, indicating reaction to the immediate price dislocation.","Broadly retains the V1 conclusion that simple scalar state is weak before launch."
cost_anchors,primarily contemporaneous confirmation,"T-5 cost-anchor changes generalized strongly in validation/holdout; holdout AUC was 0.764-0.777 with full coverage.","The separation largely vanished at T-5/T-10 raw leads and is mechanically price-relative.","Useful as near-launch confirmation, not evidence that a durable chip-state threshold was discovered."
model_consensus,weak predictor,"Model-spread p50 had a holdout AUC near 0.59.","Split stability and effect size were insufficient for a strong classification.","Does not materially overturn V1."
