experiment_id,stage,route,specification,visible_results_through,status,artifact
PRIOR_BASELINE_INSPECTION,TAKEOVER,ALL,Previous task baseline/residual inspection,2023-12-31,CONSUMED,takeover_inventory.json
V2_PREREG,REGISTRATION,ALL,research_contract.json; no candidate values used for selection yet,2023-12-31,REGISTERED,research_contract.json
V2_PREPARE,PATH,ALL,Current production replay + full-source path + state snapshots,2023-12-31,COMPUTED,input_and_exposure_manifest.json
ATRDR_BULL_native_0,EVENT,ATRDR_BULL,native_0,2023-12-31,RUNNING,
ATRDR_BULL_native_0,EVENT,ATRDR_BULL,native_0,2023-12-31,COMPUTED,events_ATRDR_BULL_native_0.parquet
ATRDR_BULL_fixed_0.03,EVENT,ATRDR_BULL,fixed_0.03,2023-12-31,RUNNING,
ATRDR_BULL_fixed_0.03,EVENT,ATRDR_BULL,fixed_0.03,2023-12-31,COMPUTED,events_ATRDR_BULL_fixed_0.03.parquet
ATRDR_BULL_fixed_0.05,EVENT,ATRDR_BULL,fixed_0.05,2023-12-31,RUNNING,
ATRDR_BULL_fixed_0.05,EVENT,ATRDR_BULL,fixed_0.05,2023-12-31,COMPUTED,events_ATRDR_BULL_fixed_0.05.parquet
ATRDR_BULL_fixed_0.075,EVENT,ATRDR_BULL,fixed_0.075,2023-12-31,RUNNING,
ATRDR_BULL_fixed_0.075,EVENT,ATRDR_BULL,fixed_0.075,2023-12-31,COMPUTED,events_ATRDR_BULL_fixed_0.075.parquet
ATRDR_BULL_fixed_0.1,EVENT,ATRDR_BULL,fixed_0.1,2023-12-31,RUNNING,
ATRDR_BULL_fixed_0.1,EVENT,ATRDR_BULL,fixed_0.1,2023-12-31,COMPUTED,events_ATRDR_BULL_fixed_0.1.parquet
ATRDR_BULL_fixed_0.125,EVENT,ATRDR_BULL,fixed_0.125,2023-12-31,RUNNING,
ATRDR_BULL_fixed_0.125,EVENT,ATRDR_BULL,fixed_0.125,2023-12-31,COMPUTED,events_ATRDR_BULL_fixed_0.125.parquet
ATRDR_BULL_fixed_0.15,EVENT,ATRDR_BULL,fixed_0.15,2023-12-31,RUNNING,
