hypothesis,classification,resolution,evidence,detail
3.1 ATRDR causal prefix,CONFIRMED_FIXED,FIXED_AND_TESTED,research.shared_capital_v1.tests.test_baseline_closure::test_atrdr_historical_prefix_entries_cash_positions_nav,父版本已修复；此前完成状态不能改变过去的入场、现金、持仓与 NAV。
3.2 SMV6 opening valuation,CONFIRMED_FIXED,FIXED_AND_TESTED,research.shared_capital_v1.tests.test_baseline_closure::test_future_close_and_unfinished_open_bar_cannot_change_order,保留父版本开盘估值修正；同日未来收盘和未完成分钟收盘扰动不改订单。
3.3 SMV6 signal date,NEW_BUG_CONFIRMED,FIXED_AND_TESTED,research.capital_scaling_v1.tests.test_hardening::test_signal_metadata_uses_frozen_event_date[2020-01-06-2020-01-03];research.capital_scaling_v1.tests.test_hardening::test_signal_metadata_uses_frozen_event_date[2020-10-09-2020-09-30];research.capital_scaling_v1.tests.test_hardening::test_signal_metadata_uses_frozen_event_date[2020-05-06-2020-04-30],已修复：周一、节后和长周末使用原生上一事件日；首次回调使用完成历史日。仅元数据。
3.4 Tradable inventory,CONFIRMED_FIXED,FIXED_AND_TESTED,research.capital_scaling_v1.tests.test_scaling::test_native_exit_sells_old_inventory_but_waits_for_same_day_addon,父公司行动 pending 语义保留；缩放新增批次按实际购入日拆分，旧股退出不带走当天增持。
3.5 Aggregate same-bar capacity,NOT_APPLICABLE,VERIFIED,tests.unit.test_smv6::test_smv6_frozen_execution_settings_are_captured,冻结本地源为每次调用上限。原生平台聚合语义未验证；不发明聚合规则。
3.6 Empty or unfinished schema,NEW_BUG_CONFIRMED,FIXED_AND_TESTED,tests.unit.test_execution::test_outcome_schema_survives_empty_no_entry_and_unfinished_paths[0-False];tests.unit.test_execution::test_outcome_schema_survives_empty_no_entry_and_unfinished_paths[0-True];tests.unit.test_execution::test_outcome_schema_survives_empty_no_entry_and_unfinished_paths[1-False];tests.unit.test_execution::test_outcome_schema_survives_empty_no_entry_and_unfinished_paths[1-True];tests.unit.test_execution::test_outcome_schema_survives_empty_no_entry_and_unfinished_paths[2-False];tests.unit.test_execution::test_outcome_schema_survives_empty_no_entry_and_unfinished_paths[2-True],已修复：空候选、没有合法入场、持仓未完成、全拒绝和现金账户保留列；未完成账户窗口继续记账。
3.7 Comparison identity and exit status,CONFIRMED_FIXED,FIXED_AND_TESTED,research.shared_capital_v1.tests.test_baseline_closure::test_generation_command_required_comparison_failure_nonzero,保留重复/空主键、多对多和缺层失败；另修复带空格/引号列名的比较 SQL。
3.8 Account validation,NEW_BUG_CONFIRMED,FIXED_AND_TESTED,research.shared_capital_v1.tests.test_account_guards::test_invalid_operation_timestamp_does_not_mutate_account[fund];research.shared_capital_v1.tests.test_account_guards::test_invalid_operation_timestamp_does_not_mutate_account[close];research.shared_capital_v1.tests.test_account_guards::test_invalid_operation_timestamp_does_not_mutate_account[credit];research.shared_capital_v1.tests.test_account_guards::test_invalid_operation_timestamp_does_not_mutate_account[mark],已修复：账户操作和意图时钟 NaT 在变更前拒绝，基准 NaN 不通过；独立容量字段均生效。
3.9 Config-relative selected inputs,NEW_BUG_CONFIRMED,FIXED_AND_TESTED,research.capital_scaling_v1.tests.test_hardening::test_config_relative_and_selected_strategy_only,已修复：配置相对目录解析，只验证所选策略；失败覆盖旧的成功状态。
3.10 Cache identity,NEW_BUG_CONFIRMED,FIXED_AND_TESTED,research.capital_scaling_v1.tests.test_bugfix_regressions::test_native_cache_reuse_requires_same_native_producers_and_states,本研究新缓存已加固：输入、期间、生产者、配置、原生初始状态及完整物理收据绑定。
P0 released cash during one callback,NEW_BUG_CONFIRMED,FIXED_AND_TESTED,research.capital_scaling_v1.tests.test_hardening::test_p0_native_callback_can_reuse_legally_released_cash,已修复：同一回调买入/合法卖出后，可再使用释放现金；第二笔从 200 股恢复为 800 股。
Scaled zero target and delayed exit,NEW_BUG_CONFIRMED,FIXED_AND_TESTED,research.capital_scaling_v1.tests.test_bugfix_regressions::test_etf_native_zero_target_liquidates_scaled_holding,本次适配器修复：原生零目标执行退出；Gap 延迟退出采用下一合法报价并释放实际批次。
Scaled intent and reference boundary,NEW_BUG_CONFIRMED,FIXED_AND_TESTED,research.capital_scaling_v1.tests.test_bugfix_regressions::test_scaled_intent_validation_precedes_mutation[decision_at-value0];research.capital_scaling_v1.tests.test_bugfix_regressions::test_scaled_intent_validation_precedes_mutation[decision_at-value1];research.capital_scaling_v1.tests.test_bugfix_regressions::test_scaled_intent_validation_precedes_mutation[earliest_execution_at-value2];research.capital_scaling_v1.tests.test_bugfix_regressions::test_scaled_intent_validation_precedes_mutation[earliest_execution_at-value3];research.capital_scaling_v1.tests.test_bugfix_regressions::test_scaled_intent_validation_precedes_mutation[price-nan],本次适配器修复：非法/未来意图先拒绝；无原生请求身份、重复已完成事件和未选策略均不能扩大持仓。
Runner failure and live source drift,NEW_BUG_CONFIRMED,FIXED_AND_TESTED,research.capital_scaling_v1.tests.test_hardening::test_cli_passes_approved_baseline_and_overwrites_stale_success,本次入口修复：旧成功状态在失败时失效；Native 复用传递正确；计算期间源码变化失败。
ETF exact affordable lot,NEW_BUG_CONFIRMED,FIXED_AND_TESTED,research.capital_scaling_v1.tests.test_scaling::test_etf_exact_affordable_lot_is_preserved_without_financing[0.0-100.0];research.capital_scaling_v1.tests.test_scaling::test_etf_exact_affordable_lot_is_preserved_without_financing[0.01-0.0],求解器浮点边界修复：足额成交 100 股，少 0.01 元不成交；实际账单仍严格受现金约束。
Large requested/billed cost association,NEW_BUG_CONFIRMED,FIXED_AND_TESTED,research.capital_scaling_v1.tests.test_scaling::test_observed_large_combined_order_uses_same_requested_and_billed_cost,2021-10-12 603348.SH 实际组合请求的含费成本乘法顺序已统一；没有放宽校验容差。
