strategy,grid,status,reason
ATRDR Bull,Native,NOT_RUN_NO_FROZEN_EQUIVALENT,Marginal-capital replay requires a frozen native adapter for each isolated alpha; do not synthesize leverage or priority.
ATRDR Bull,1.5x,NOT_RUN_NO_FROZEN_EQUIVALENT,Marginal-capital replay requires a frozen native adapter for each isolated alpha; do not synthesize leverage or priority.
ATRDR Bull,2x,NOT_RUN_NO_FROZEN_EQUIVALENT,Marginal-capital replay requires a frozen native adapter for each isolated alpha; do not synthesize leverage or priority.
ATRDR Fast Bear,Native,NOT_RUN_NO_FROZEN_EQUIVALENT,Marginal-capital replay requires a frozen native adapter for each isolated alpha; do not synthesize leverage or priority.
ATRDR Fast Bear,1.5x,NOT_RUN_NO_FROZEN_EQUIVALENT,Marginal-capital replay requires a frozen native adapter for each isolated alpha; do not synthesize leverage or priority.
ATRDR Fast Bear,2x,NOT_RUN_NO_FROZEN_EQUIVALENT,Marginal-capital replay requires a frozen native adapter for each isolated alpha; do not synthesize leverage or priority.
ATRDR Slow Bear,Native,NOT_RUN_NO_FROZEN_EQUIVALENT,Marginal-capital replay requires a frozen native adapter for each isolated alpha; do not synthesize leverage or priority.
ATRDR Slow Bear,1.5x,NOT_RUN_NO_FROZEN_EQUIVALENT,Marginal-capital replay requires a frozen native adapter for each isolated alpha; do not synthesize leverage or priority.
ATRDR Slow Bear,2x,NOT_RUN_NO_FROZEN_EQUIVALENT,Marginal-capital replay requires a frozen native adapter for each isolated alpha; do not synthesize leverage or priority.
MCB,Native,NOT_RUN_NO_FROZEN_EQUIVALENT,Marginal-capital replay requires a frozen native adapter for each isolated alpha; do not synthesize leverage or priority.
MCB,1.5x,NOT_RUN_NO_FROZEN_EQUIVALENT,Marginal-capital replay requires a frozen native adapter for each isolated alpha; do not synthesize leverage or priority.
MCB,2x,NOT_RUN_NO_FROZEN_EQUIVALENT,Marginal-capital replay requires a frozen native adapter for each isolated alpha; do not synthesize leverage or priority.
OGR,Native,NOT_RUN_NO_FROZEN_EQUIVALENT,Marginal-capital replay requires a frozen native adapter for each isolated alpha; do not synthesize leverage or priority.
OGR,1.5x,NOT_RUN_NO_FROZEN_EQUIVALENT,Marginal-capital replay requires a frozen native adapter for each isolated alpha; do not synthesize leverage or priority.
OGR,2x,NOT_RUN_NO_FROZEN_EQUIVALENT,Marginal-capital replay requires a frozen native adapter for each isolated alpha; do not synthesize leverage or priority.
IFCGR,Native,NOT_RUN_NO_FROZEN_EQUIVALENT,Marginal-capital replay requires a frozen native adapter for each isolated alpha; do not synthesize leverage or priority.
IFCGR,1.5x,NOT_RUN_NO_FROZEN_EQUIVALENT,Marginal-capital replay requires a frozen native adapter for each isolated alpha; do not synthesize leverage or priority.
IFCGR,2x,NOT_RUN_NO_FROZEN_EQUIVALENT,Marginal-capital replay requires a frozen native adapter for each isolated alpha; do not synthesize leverage or priority.
SMV6,Native,NOT_RUN_NO_FROZEN_EQUIVALENT,Marginal-capital replay requires a frozen native adapter for each isolated alpha; do not synthesize leverage or priority.
SMV6,1.5x,NOT_RUN_NO_FROZEN_EQUIVALENT,Marginal-capital replay requires a frozen native adapter for each isolated alpha; do not synthesize leverage or priority.
SMV6,2x,NOT_RUN_NO_FROZEN_EQUIVALENT,Marginal-capital replay requires a frozen native adapter for each isolated alpha; do not synthesize leverage or priority.
