method_id,source_method,source_definition_paraphrase,exact_data_required,reproducibility,frozen_operationalization,source_url
DOWNSHIFT_METHOD,下移法,"From a recent high move the reference about 25%, operationalized in the book as two-and-a-half 10% limit moves (~27%), and read the current mass below it.",recent high; current full distribution; corporate actions,APPROXIMATELY_REPRODUCIBLE,"60-session recent high, 25% and 27% shifts; applicable only after >=25% markup and near the high",https://blog.sina.com.cn/s/blog_9e33391b0101kzmu.html
CONSOLIDATION_METHOD,横盘法,"After at least about two months inside an approximately 10% box, mass below the box floor is interpreted as inventory surviving the consolidation.",40-session OHLC/turnover; current full distribution,APPROXIMATELY_REPRODUCIBLE,"40 sessions, <=10% box, cumulative turnover >=100%; report mass below floor",https://blog.sina.com.cn/s/blog_9e33391b0101kzmu.html
NINETY_VS_THREE,90比3,Profit ratio above 90% while turnover is below 3% is a high-control proxy; the source warns that relative price position matters.,same-date full distribution and authoritative turnover,EXACTLY_REPRODUCIBLE,profit_ratio > 0.90 and turnover_fraction < 0.03,https://blog.sina.com.cn/s/blog_9e33391b0101kzmu.html
CYQK_LOW_TURNOVER_LONG_POSITIVE,博弈K线低位无量长阳,CYQKLEN above 18 means over 18% of trapped chips became profitable across the day's OHLC; combined with turnover below 3% and low position.,authoritative full distribution immediately before every daily OHLC,UNAVAILABLE,"No proxy substituted: checkpoint distributions are monthly, so exact daily CYQKLEN cannot be formed without prohibited replay.",https://blog.sina.com.cn/s/blog_9e33391b0101kzmu.html
LOW_TURNOVER_DENSE_CROSSING,筹码密集区无量上穿,Price crosses a pre-existing dense trapped-cost region with under 3% turnover; released holders did not create expected selling pressure.,pre-existing full distribution/modes; daily crossing path; turnover,APPROXIMATELY_REPRODUCIBLE,Static prior checkpoint distribution and first band crossing; large released mass >=18%,https://blog.sina.com.cn/s/blog_9e33391b0101kzmu.html
LOW_POSITION_LOCKED,低位锁定,Price rises or leaves a low region while a substantial low-cost chip body remains at low cost rather than following price upward.,full distribution history; price position; holding age,APPROXIMATELY_REPRODUCIBLE,"aged profitable mass, low position, and checkpoint-to-checkpoint retention",https://xqdoc.imedao.com/169d51450804c03f3fed727b.pdf
LOW_POSITION_DENSE,低位密集,A concentrated chip structure forms after a materially lower price region and remains at low relative position.,full distribution density; trailing price position,APPROXIMATELY_REPRODUCIBLE,discovery-frozen HHI 75th percentile and price position <=40%,https://xqdoc.imedao.com/169d51450804c03f3fed727b.pdf
HIGH_POSITION_DENSE,高位密集 / distribution warning,Concentration formed at high relative price after appreciation is a possible distribution rather than accumulation state.,full distribution density; price position; prior return,APPROXIMATELY_REPRODUCIBLE,"same density threshold at price position >=70%, kept separate from low-position concentration",https://xqdoc.imedao.com/169d51450804c03f3fed727b.pdf
SECONDARY_LOW_NARROW_CONSOLIDATION,次低位窄幅横盘,A narrow range at a secondary low after the absolute low is auxiliary accumulation evidence.,daily price path and relative position,APPROXIMATELY_REPRODUCIBLE,20-session range <=10% at 20%-50% annual price position,https://xqdoc.imedao.com/169d51450804c03f3fed727b.pdf
BULL_LONG_BEAR_SHORT,牛长熊短,"Bullish runs are longer and gradual while bearish legs are shorter, producing the book's saw-tooth accumulation description.",daily return-run lengths,APPROXIMATELY_REPRODUCIBLE,60-session mean positive-run length >=1.5x negative-run length at <=70% position,https://xqdoc.imedao.com/169d51450804c03f3fed727b.pdf
PIT_EDGE_HORIZONTAL,挖坑后坑沿强势横盘,A sharp pit is recovered and price then holds horizontally near the former pit edge.,"daily drawdown, recovery, and recent range",APPROXIMATELY_REPRODUCIBLE,">=10% pit, recovery to within 5% of edge, final 10-session range <=10%",https://xqdoc.imedao.com/169d51450804c03f3fed727b.pdf
DOUBLE_PEAK_FILL_VALLEY,双峰填谷,Trading in the valley between two chip peaks progressively fills the valley and may describe absorption of trapped inventory.,two full-distribution modes and their history,APPROXIMATELY_REPRODUCIBLE,two tracked modes >=10% apart with price in the valley; no claim of investor identity,https://xqdoc.imedao.com/169d51450804c03f3fed727b.pdf
LARGE_DOUBLE_PEAK_VALLEY,大双峰 / 双峰峡谷,A large lower retained peak and upper trapped peak form a valley; the lower peak may anchor wounded-control or support inference.,"full distribution modes, lower retention, drawdown path",APPROXIMATELY_REPRODUCIBLE,"lower mass >=15%, upper >=10%, gap >=10%, with separate retained/distributed lower-base states",https://xqdoc.imedao.com/169d51450804c03f3fed727b.pdf
WOUNDED_DEALER,受伤庄股,"Previously high inferred control suffers a rapid decline before full distribution and trades near the inferred cost/base, creating a possible self-rescue incentive.","prior control proxy, markup, retention, drawdown, inferred cost",APPROXIMATELY_REPRODUCIBLE,"prior control >=50%, markup >=30%, 20-session drawdown <=-20%, retention >=80%, within 15% of inferred cost",https://xqdoc.imedao.com/169d51450804c03f3fed727b.pdf
COST_LOW_LOCK_WHILE_PRICE_RISES,成本低位锁定 while price rises,"The cost distribution stays low while market price rises, implying price/cost divergence without observed investor identity.",current/previous full distributions; price path,EXACTLY_REPRODUCIBLE,checkpoint-to-checkpoint fixed-zone retention plus prior price return,https://xqdoc.imedao.com/169d51450804c03f3fed727b.pdf
LOCKED_PROFITABLE_INVENTORY,low-cost inventory retention after substantial profit,A large low-cost body has modeled floating profit of 10/20/25/30/40%+ yet survives with age and retention.,"full lot distribution, holding-day cells, price, turnover history",EXACTLY_REPRODUCIBLE,all five predetermined profit distances; turnover-since-profit is separately marked approximate,https://xqdoc.imedao.com/169d51450804c03f3fed727b.pdf
