strategy,period,diagnostic_initial_cash,diagnostic_initial_positions,home_nav,formal_boundary_mode,cooldown_state,warmup_window,diagnostic_reset_or_continuation,native_reference,common_initial_state_status,policy_unchanged,status,boundary_nav,boundary_cash,boundary_holdings,first_blocker
ATRDR,2018_2021,1000000.0,{},,NATIVE_CONTINUOUS,signal warmup retained; funded holding/cooldown boundary not sealed,2013 through segment boundary,RESET_ACCOUNT,stock historical account begins before 2018; native continuation inventory not reconciled to shared flat reset,ACCOUNTING_BLOCKED,True,ACCOUNTING_BLOCKED,,,,ACTIVE_COORDINATE_LINEAGE_CHANGE:2017-06-30:V29|BULL|V29B|20170623|600622.SH: native outcome abort is not an executable exit
ATRDR,2022_2023,1000000.0,{},,NATIVE_CONTINUOUS,signal warmup retained; funded holding/cooldown boundary not sealed,2013 through segment boundary,RESET_ACCOUNT,stock historical account begins before 2018; native continuation inventory not reconciled to shared flat reset,ACCOUNTING_BLOCKED,True,ACCOUNTING_BLOCKED,,,,ACTIVE_COORDINATE_LINEAGE_CHANGE:2017-06-30:V29|BULL|V29B|20170623|600622.SH: native outcome abort is not an executable exit
MCB,2018_2021,1000000.0,{},,NATIVE_CONTINUOUS,signal warmup retained; funded holding/cooldown boundary not sealed,2013 through segment boundary,RESET_ACCOUNT,stock historical account begins before 2018; native continuation inventory not reconciled to shared flat reset,NATIVE_CONTINUOUS_BOUNDARY_RECONCILIATION_PENDING,True,NATIVE_BOUNDARY_RECONSTRUCTED_REFERENCE_COMPARISON_PENDING,1312987.896579233,1312987.896579233,{},ACTIVE_COORDINATE_LINEAGE_CHANGE:2020-06-24:V72|V65|MEDIUM_PARTICIPATION|V53-20200617-603368.SH: native outcome abort is not an executable exit
MCB,2022_2023,1000000.0,{},,NATIVE_CONTINUOUS,signal warmup retained; funded holding/cooldown boundary not sealed,2013 through segment boundary,RESET_ACCOUNT,stock historical account begins before 2018; native continuation inventory not reconciled to shared flat reset,ACCOUNTING_BLOCKED,True,ACCOUNTING_BLOCKED,,,,ACTIVE_COORDINATE_LINEAGE_CHANGE:2020-06-24:V72|V65|MEDIUM_PARTICIPATION|V53-20200617-603368.SH: native outcome abort is not an executable exit
OGR,2018_2021,1000000.0,{},,NATIVE_CONTINUOUS,signal warmup retained; funded holding/cooldown boundary not sealed,2013 through segment boundary,RESET_ACCOUNT,stock historical account begins before 2018; native continuation inventory not reconciled to shared flat reset,NATIVE_CONTINUOUS_BOUNDARY_RECONCILIATION_PENDING,True,,,,,
OGR,2022_2023,1000000.0,{},,NATIVE_CONTINUOUS,signal warmup retained; funded holding/cooldown boundary not sealed,2013 through segment boundary,RESET_ACCOUNT,stock historical account begins before 2018; native continuation inventory not reconciled to shared flat reset,NATIVE_CONTINUOUS_BOUNDARY_RECONCILIATION_PENDING,True,,,,,
IFCGR,2018_2021,1000000.0,{},,NATIVE_CONTINUOUS,signal warmup retained; funded holding/cooldown boundary not sealed,2013 through segment boundary,RESET_ACCOUNT,stock historical account begins before 2018; native continuation inventory not reconciled to shared flat reset,NATIVE_CONTINUOUS_BOUNDARY_RECONCILIATION_PENDING,True,,,,,
IFCGR,2022_2023,1000000.0,{},,NATIVE_CONTINUOUS,signal warmup retained; funded holding/cooldown boundary not sealed,2013 through segment boundary,RESET_ACCOUNT,stock historical account begins before 2018; native continuation inventory not reconciled to shared flat reset,NATIVE_CONTINUOUS_BOUNDARY_RECONCILIATION_PENDING,True,,,,,
SMV6,2018_2021,1000000.0,{},,NATIVE_CONTINUOUS,native callback init,all registered daily history strictly preceding period,RESET_ACCOUNT,native reset callback,NATIVE_CONTINUOUS_BOUNDARY_RECONCILIATION_PENDING,True,,,,,
SMV6,2022_2023,1000000.0,{},,NATIVE_CONTINUOUS,native callback init,all registered daily history strictly preceding period,RESET_ACCOUNT,native reset callback,NATIVE_CONTINUOUS_BOUNDARY_RECONCILIATION_PENDING,True,,,,,
