family_id,family_name,experiment_ids,original_hypothesis,expected_sign,observed_evidence,consistency,spread_decomposition,audit_classification,classification_reason,candidate_priority,candidate_label,next_anatomy,evidence_paths
F01_PRICE_LIMIT_STABLE_ACCEPTANCE,Price-limit stable/early acceptance,ASHARE-PRICE-LIMIT-LIQUIDITY-CYCLE-014,Earlier and more stable limit-up acceptance should identify durable demand.,positive,All lifecycle states had negative absolute returns. Early-stable h1/h3/h5 means were -2.181%/-2.732%/-3.144%; stable acceptance trailed failed acceptance by 1.884 pp at h3 and had 12.723 pp worse severe-loss incidence; stable also trailed reopen/reseal by 1.102 pp.,"Adverse at h1/h3/h5, in both fixed blocks, across early/mid/late state comparisons, and in mean/median/winner/severe-loss diagnostics; year anatomy was not reported.","AVOIDANCE_ONLY: the favored stable/early states are intrinsically negative; failed/reseal comparators are less bad, not established long legs.",STABLE_ADVERSE_AVOIDANCE_CANDIDATE_NEEDS_ANATOMY,A broad and material negative lifecycle topology was closed as no useful positive signal without a dedicated negative-leg/event-baseline anatomy.,HIGH,POST_HOC_HYPOTHESIS_GENERATED_FROM_CONSUMED_DEVELOPMENT_HISTORY,"Using the frozen lifecycle states only, decompose each state against the all-event baseline by horizon/year and determine whether adverse economics are stable-state weakness or merely relative less-bad comparisons; no replay.",research/market_behavior_os_v2/reports/ASHARE-PRICE-LIMIT-LIQUIDITY-CYCLE-014_report.md
F02_PRICE_LIMIT_LIQUIDITY_TRANSITIONS,Price-limit liquidity transitions and reopen/reseal relative improvement,ASHARE-PRICE-LIMIT-LIQUIDITY-CYCLE-014,"Dormant-to-active, rejection, recovery, or reopen/reseal transitions should positively identify continuation.",positive,Dormant-to-active matched h3 was only +0.040 pp with worse severe losses; activity-shock rejection was a +0.300 pp less-bad contrast while both legs were negative; liquidity recovery reversed from +0.200 pp early to -0.110 pp late. Reopen/reseal remained -1.152% at h5.,Tiny or less-bad effects and a chronological reversal; no positive absolute reopen/reseal leg.,LESS_BAD_ONLY_OR_NOISY,TRUE_NULL,The compact artifacts already show insufficient magnitude/coherence for an opposite long or avoidance hypothesis independent of the stable-acceptance family.,NONE,NONE,NONE,research/market_behavior_os_v2/reports/ASHARE-PRICE-LIMIT-LIQUIDITY-CYCLE-014_report.md
F03_MINUTE_LEADER_FOLLOWER,Minute industry leader-to-follower propagation,ASHARE-INDUSTRY-LEAD-FOLLOW-CYCLE-013,Leader moves should causally propagate to followers after the decision timestamp.,positive,"Matched future w1-3 payoff was +0.0294%, while the already-completed reverse window was +0.0403%; future-minus-reverse was -0.0110% with only 21.73% coverage.",The apparent relationship is contemporaneous/simultaneous rather than forward; magnitude and coverage fail.,NO_OPPOSITE_LEG,TRUE_NULL,The sign comparison rejects causal propagation but does not expose an economically meaningful opposite trade.,NONE,NONE,NONE,research/market_behavior_os_v2/reports/ASHARE-INDUSTRY-LEAD-FOLLOW-CYCLE-013_report.md
F04_LOW_RISK_DEFENSIVE_COMPLEX,Low Idio / Low Vol-of-Vol / Low Skewness / Low-MAX defensive complex,ASHARE-DIVERSIFIED-CYCLE-002;ASHARE-SKEW-BREAKDOWN-DISCOVERY-CYCLE-008;ASHARE-DEFENSIVE-ALPHA-DISCOVERY-CYCLE-009;ASHARE-EVIDENCE-DEPTH-CYCLE-010;ASHARE-LOW-MAX-CONFIRMATION-CYCLE-012,Lower lottery-like and lower unstable-risk characteristics should improve payoff quality.,positive for low-risk orientation,"Low Idio, Low Skewness, Low Vol-of-Vol, and Low-MAX produced repeated defensive ordering. Independence audits found substantial redundancy (Low Vol-of-Vol vs Low Idio rank correlation 0.624; residual results unstable), while Low-MAX earned the frozen champion role.",Repeated block/defensive evidence; incremental independence was mixed rather than a missed adverse sign.,ALREADY_DECOMPOSED_AND_USED,STABLE_ADVERSE_ALREADY_USED,The economically useful adverse high-risk/high-MAX side was already preserved as defensive information or translated into Strategy A; Low Skewness standalone research was correctly closed.,NONE,NONE,NONE,research/market_behavior_os_v2/reports/ASHARE-DEFENSIVE-ALPHA-DISCOVERY-CYCLE-009_report.md;research/market_behavior_os_v2/reports/ASHARE-EVIDENCE-DEPTH-CYCLE-010_report.md;research/market_behavior_os_v2/reports/ASHARE-LOW-MAX-CONFIRMATION-CYCLE-012_report.md
F05_RS_ACCELERATION_VETO,CHINEXT relative-strength acceleration veto,HAB-CHX-SELECTION-SCREEN-001;HAB-CHX-DECISION-BATCH-001,Extreme relative-strength acceleration is overextension and should be excluded.,adverse high acceleration,The high-acceleration subgroup underperformed in 10 of 11 half-year episodes; the frozen veto improved the executable strategy in both development blocks.,Stable episode and two-block executable evidence.,ADVERSE_LEG_USED_AS_VETO,STABLE_ADVERSE_ALREADY_USED,The opposite-sign information was explicitly recognized and incorporated as a frozen admission component.,NONE,NONE,NONE,research/market_behavior_os_v2/reports/HAB-CHX-SELECTION-SCREEN-001_stock_selection_screen.md;research/market_behavior_os_v2/reports/HAB-CHX-DECISION-BATCH-001_strategy_replay.md
F06_CONFIRMED_BREAKDOWN_LIFECYCLE,Confirmed-breakdown admission/exit lifecycle,ASHARE-SUPPORT-RECOVERY-CYCLE-007;ASHARE-SKEW-BREAKDOWN-DISCOVERY-CYCLE-008;ASHARE-CHAMPION-BREAKDOWN-EXIT-CYCLE-020,Confirmed objective support failure should identify avoidable downside or justify exit.,negative after breakdown,"The screen found downside information, but the frozen admission mapping affected zero decisions. The later champion exit audit found positive post-breakdown h1/h3/h5 returns (+0.400%/+0.669%/+0.686%) and +1.572% remaining-lifecycle return, supporting retain/no exit.","The executable lifecycle test was broad (1,020 actionable events) and remaining returns were stable across blocks.",ADVERSE_SCREEN_TRANSLATED_AND_EXIT_REJECTED,STABLE_ADVERSE_ALREADY_USED,The signal received both natural admission and exit examinations; the resulting non-action is itself the proper scientific use.,NONE,NONE,NONE,research/market_behavior_os_v2/reports/ASHARE-SUPPORT-RECOVERY-CYCLE-007_report.md;research/market_behavior_os_v2/reports/ASHARE-CHAMPION-BREAKDOWN-EXIT-CYCLE-020_report.md
F07_MARKET_MINUTE_VOLATILITY_OVERLAY,Market minute-volatility path risk overlay,HAB-CHX-MINVOLPATH-STRAT-001;HAB-CHX-MINVOL-COST-001,Adverse market minute-volatility paths should identify risk periods for the strategy.,adverse state,"The frozen veto improved both blocks before cost stress, but the effect became cost-sensitive: at 20 bps/side the block deltas were +0.269/+5.706 pp and at 30 bps/side -2.407/+4.811 pp.",Directionally useful but not robust to plausible cost stress.,ADVERSE_STATE_ALREADY_TESTED_AS_OVERLAY,STABLE_ADVERSE_ALREADY_USED,The information was explicitly tested in its natural risk role and correctly downgraded/closed for tuning.,NONE,NONE,NONE,research/market_behavior_os_v2/reports/HAB-CHX-MINVOLPATH-STRAT-001_strategy_translation.md;research/market_behavior_os_v2/reports/HAB-CHX-MINVOL-COST-001_cost_stress.md
F08_MOMENTUM_COMPLEX,Canonical and revised medium-term momentum,ASHARE-INDEP-FUNNEL-001;ASHARE-EXTERNAL-PRIOR-CYCLE-005;ASHARE-EVIDENCE-DEPTH-CYCLE-010,Medium-term winners should continue outperforming.,positive,"Canonical formulations were adverse, but corrected/revised 6/9/12-month momentum was strongly positive in the early block and negative in the late block.",The scientifically improved specification reverses chronologically across all tested canonical horizons.,NO_STABLE_OPPOSITE_LEG,CHRONOLOGICALLY_UNSTABLE,Earlier adverse artifacts cannot be promoted after the corrected formulation demonstrated block reversal.,NONE,NONE,NONE,research/market_behavior_os_v2/reports/ASHARE-EVIDENCE-DEPTH-CYCLE-010_report.md
F09_MIXED_PUBLISHED_TECHNICAL_PRIORS,"52-week-high, industry momentum, and simple intraday reversal priors",ASHARE-EXTERNAL-PRIOR-CYCLE-005,Canonical published technical priors should transfer to the A-share long-only setting.,positive,"The tested 52-week-high, industry-momentum, and intraday-reversal formulations were mixed or reversed across fixed blocks rather than stably adverse.",Chronological sign instability dominates any pooled spread.,NO_STABLE_OPPOSITE_LEG,CHRONOLOGICALLY_UNSTABLE,The batch provides no stable opposite-sign family after preserving exact formulations.,NONE,NONE,NONE,research/market_behavior_os_v2/reports/ASHARE-EXTERNAL-PRIOR-CYCLE-005_report.md
F10_RELATIVE_RANK_ACCELERATION,Market-relative and industry-follower rank acceleration,ASHARE-DEFENSIVE-ALPHA-DISCOVERY-CYCLE-009,Improving relative rank should forecast positive continuation.,positive,"Market-relative rank acceleration had -1.260% excess (-0.337%/-2.055% by block), -1.190% selected mean, -3.393% median, and +12.293 pp severe-loss disadvantage. Industry-follower rank acceleration had -0.835% excess (-0.438%/-1.173%), -0.740% mean, -3.226% median, and +8.169 pp severe-loss disadvantage.",Both related definitions are adverse in both blocks and in mean/median/severe-loss diagnostics; year and full-bucket decompositions are absent.,AVOIDANCE_ONLY_PENDING_LEG_DECOMPOSITION,STABLE_ADVERSE_AVOIDANCE_CANDIDATE_NEEDS_ANATOMY,"Two economically related rank-change priors produced material, distribution-broad adverse evidence, but the original audit stopped at favored-set versus date-control results.",HIGH,POST_HOC_HYPOTHESIS_GENERATED_FROM_CONSUMED_DEVELOPMENT_HISTORY,"Using the exact frozen rank-change scores, decompose coarse score buckets versus date/event baselines and by year to determine whether high acceleration is intrinsically adverse or whether low acceleration is a positive leg; no threshold or portfolio search.",research/market_behavior_os_v2/reports/ASHARE-DEFENSIVE-ALPHA-DISCOVERY-CYCLE-009_report.md
