FEATURE_OR_CONDITION,DEFINED_IN_FILE,DEFINED_AT_LINE,CALCULATED,USED_BY_MODEL,USED_BY_SIMPLE_RULE,USED_AS_HARD_GATE,USED_AS_RANK,USED_ONLY_FOR_REPORT,MISSING_VALUE_POLICY,LANES_AFFECTED,TIME_ANCHOR
"TRUE_GAP High_t<Low_t-1","run_ashare_true_gap_causal_cluster_v6_one_shot_discovery.py","119-206","YES","NO","NO","YES","NO","NO","required validity/lineage predicates; otherwise no source gap","L0-L6 source population","formation-day close"
"FORMER_STRENGTH_ELIGIBLE","run_ashare_true_gap_causal_cluster_v6_one_shot_discovery.py","145-190;342-363","YES","NO","NO","YES","NO","NO","no eligible cluster start when false/missing","L0-L6 source population","gap formation using prior completed history"
"MATERIAL_DRAWDOWN_AT_FREEZE>=30%","run_ashare_true_gap_causal_cluster_v6_one_shot_discovery.py","365-390","YES","NO","NO","YES","NO","NO","cluster does not freeze unless condition true","L0-L6 source population","cluster freeze close"
"LOWEST_UNRESOLVED_MAJOR_OR_SECONDARY_PRIMARY","run_ashare_true_gap_causal_cluster_v6_one_shot_discovery.py","280-291;376-390","YES","NO","NO","YES","NO","NO","no unresolved eligible gap means no freeze","L0-L6 source population","cluster freeze close"
"PRE_FREEZE_EXACT_TOUCH_REJECTION","run_ashare_true_gap_causal_cluster_v6_one_shot_discovery.py","248-250;289-291;389-394","YES","NO","NO","YES","NO","NO","exact touch rejects the frozen cluster","L0-L6 source population","formation through freeze"
"MEMORY CORE<=60","run_ashare_true_gap_causal_cluster_v6_one_shot_discovery.py; run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","490-496;2326-2329;3252-3255","YES","NO","NO","YES","NO","NO","STALE excluded; BOUNDARY retained only for diagnostic/state construction but not primary selector panels","L0-L6 primary uses CORE","attack start"
"Z_PRICE_COORDINATE=(price-L)/W","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","121-123;938-982","YES","INDIRECT","INDIRECT","NO","NO","NO","out-of-range assigned bin 999; invalid W rejected at source","inventory-derived lanes","each completed VAP minute"
"RAW_VAP_INSIDE_20_60_120","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1267-1284","YES","NO","NO","NO","NO","YES","NaN unless exact N hard-valid 241-minute sessions","report/direct analysis only","strictly before gap formation"
"RAW_VAP_ABOVE_U_20_60_120","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1267-1284","YES","NO","NO","NO","NO","YES","NaN unless exact N hard-valid 241-minute sessions","report/direct analysis only","strictly before gap formation"
"RAW_VAP_SUPPORT_20_60_120","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1267-1284","YES","NO","NO","NO","NO","YES","NaN unless exact N hard-valid 241-minute sessions","report/direct analysis only","strictly before gap formation"
"DECAYED_OVERHANG_INSIDE_GAP","run_ashare_true_gap_v7_overhang_attack_episode_simple_rule_development_v1.py","1285-1307","YES","YES","YES","POSSIBLE","NO","NO","inventory invalid if history empty/bad; absent bins become zero; hard condition rejects NaN","L1-L3 L5-L6 when selected","through ATTACK_START_TIME"
