gap,mcb_mode,target,strategy,input_identity,common_initial_state,common_signal_and_quote_inputs,common_intent_fields,common_events,full_book_intents,entry_only_intents,status,scope
OGR,independent,G25,ATRDR,62d601140eea27503e2457f4df56a3bb57bbfaaf9476fb5581ca892248c24455,True,True,event_id|symbol|decision_at|earliest_execution_at|price|native_requested_notional|economic_event_definition,2148,2149,2227,PASS,Common exogenous precapital signals and Native reference requests. Post-state ACTIVE_SYMBOL/MAX_K/native_failures and ownership paths may change admitted intents; not a changed alpha rule
OGR,independent,G25,MCB,62d601140eea27503e2457f4df56a3bb57bbfaaf9476fb5581ca892248c24455,True,True,event_id|symbol|decision_at|earliest_execution_at|price|native_requested_notional|economic_event_definition,1058,1058,1119,PASS,Common exogenous precapital signals and Native reference requests. Post-state ACTIVE_SYMBOL/MAX_K/native_failures and ownership paths may change admitted intents; not a changed alpha rule
OGR,independent,G25,OGR,62d601140eea27503e2457f4df56a3bb57bbfaaf9476fb5581ca892248c24455,True,True,event_id|symbol|decision_at|earliest_execution_at|price|native_requested_notional|economic_event_definition,412,412,412,PASS,Common exogenous precapital signals and Native reference requests. Post-state ACTIVE_SYMBOL/MAX_K/native_failures and ownership paths may change admitted intents; not a changed alpha rule
OGR,independent,G100,ATRDR,62d601140eea27503e2457f4df56a3bb57bbfaaf9476fb5581ca892248c24455,True,True,event_id|symbol|decision_at|earliest_execution_at|price|native_requested_notional|economic_event_definition,2149,2149,2233,PASS,Common exogenous precapital signals and Native reference requests. Post-state ACTIVE_SYMBOL/MAX_K/native_failures and ownership paths may change admitted intents; not a changed alpha rule
OGR,independent,G100,MCB,62d601140eea27503e2457f4df56a3bb57bbfaaf9476fb5581ca892248c24455,True,True,event_id|symbol|decision_at|earliest_execution_at|price|native_requested_notional|economic_event_definition,1061,1061,1122,PASS,Common exogenous precapital signals and Native reference requests. Post-state ACTIVE_SYMBOL/MAX_K/native_failures and ownership paths may change admitted intents; not a changed alpha rule
OGR,independent,G100,OGR,62d601140eea27503e2457f4df56a3bb57bbfaaf9476fb5581ca892248c24455,True,True,event_id|symbol|decision_at|earliest_execution_at|price|native_requested_notional|economic_event_definition,412,412,412,PASS,Common exogenous precapital signals and Native reference requests. Post-state ACTIVE_SYMBOL/MAX_K/native_failures and ownership paths may change admitted intents; not a changed alpha rule
OGR,confirmation_tag,G25,ATRDR,62d601140eea27503e2457f4df56a3bb57bbfaaf9476fb5581ca892248c24455,True,True,event_id|symbol|decision_at|earliest_execution_at|price|native_requested_notional|economic_event_definition,2148,2149,2227,PASS,Common exogenous precapital signals and Native reference requests. Post-state ACTIVE_SYMBOL/MAX_K/native_failures and ownership paths may change admitted intents; not a changed alpha rule
OGR,confirmation_tag,G25,MCB,62d601140eea27503e2457f4df56a3bb57bbfaaf9476fb5581ca892248c24455,True,True,event_id|symbol|decision_at|earliest_execution_at|price|native_requested_notional|economic_event_definition,177,238,217,PASS,Common exogenous precapital signals and Native reference requests. Post-state ACTIVE_SYMBOL/MAX_K/native_failures and ownership paths may change admitted intents; not a changed alpha rule
OGR,confirmation_tag,G25,OGR,62d601140eea27503e2457f4df56a3bb57bbfaaf9476fb5581ca892248c24455,True,True,event_id|symbol|decision_at|earliest_execution_at|price|native_requested_notional|economic_event_definition,412,412,412,PASS,Common exogenous precapital signals and Native reference requests. Post-state ACTIVE_SYMBOL/MAX_K/native_failures and ownership paths may change admitted intents; not a changed alpha rule
OGR,confirmation_tag,G100,ATRDR,62d601140eea27503e2457f4df56a3bb57bbfaaf9476fb5581ca892248c24455,True,True,event_id|symbol|decision_at|earliest_execution_at|price|native_requested_notional|economic_event_definition,2155,2155,2233,PASS,Common exogenous precapital signals and Native reference requests. Post-state ACTIVE_SYMBOL/MAX_K/native_failures and ownership paths may change admitted intents; not a changed alpha rule
