architecture,variant,strategy_role,candidate_definition,unique_canonical_base_required_for_candidate,writes_production_state,simulates_downstream_lifecycle,eligible_symbol_days,distinct_candidate_episodes,distinct_candidate_symbols,candidate_episodes_per_symbol_year,candidate_symbol_days_per_symbol_year,median_candidate_duration,p25_candidate_duration,p75_candidate_duration,max_candidate_duration,symbol_day_candidate_rate,wave_candidates,wave_recall,control_candidates,control_acceptance,matched_enrichment,matched_enrichment_cluster_low,matched_enrichment_cluster_high,candidate_precision,raw_label_base_rate,precision_lift_over_raw_base,temporal_state_composition_json,candidate_input_ineligible_or_warmup_symbol_days,candidate_funnel_researchable,pnl_swing_sample_large_enough,pnl_swing_failure_reasons_json
A_CURRENT_V12,A,PRODUCTION_BASELINE,"Authoritative production SETUP_OBSERVED; unique canonical base, lifecycle validity, tradability, and production setup_score >= 1.00 all remain required.",True,False,False,1,1,1,0.002,0.002,1.0,1.0,1.0,1,8.247354660992487e-06,0,0.0,0,0.0,,,,0.0,0.25125014440611954,0.0,"{""VALID_CANONICAL_BASE"":1}",32556,False,False,"[""v3_independent_candidate_layer"",""total_episode_count"",""validation_episode_count"",""holdout_episode_count"",""validation_wave_count"",""holdout_wave_count"",""validation_modest_enrichment"",""holdout_modest_enrichment""]"
B_CANDIDATE_FIRST,B,BROAD_RESEARCH_CANDIDATE_INTAKE,"Base-free PIT-valid, tradable observation after 60 consecutive base-free-valid sessions; no canonical root is required and no lifecycle state is written.",False,False,False,88695,561,492,1.122,177.39,184.0,184.0,184.0,184,0.7314991216567286,1047,0.6547842401500938,1018,0.6366479049405879,1.0284872298624754,0.9713467908530068,1.0899550435865504,0.264997462358315,0.25125014440611954,1.0547156618942053,"{""ENSEMBLE_AMBIGUOUS"":41479,""LOST/TRANSITION"":9869,""MERGE"":2989,""SPLIT"":7237,""VALID_CANONICAL_BASE"":27121}",32556,False,False,"[""v3_independent_candidate_layer"",""validation_episode_count"",""holdout_episode_count"",""validation_modest_enrichment"",""holdout_modest_enrichment"",""swing_duration_ceiling""]"
P_PRICE_ONLY_BROAD,P,V3_INDEPENDENT_PRICE_RESEARCH_UNIVERSE,"Registered daily-price PIT-valid, tradable observation after 60 consecutive price-valid sessions; no V3 chip field or canonical peak is used.",False,False,False,89356,563,494,1.126,178.712,184.0,184.0,184.0,184,0.7369506230876446,1055,0.6597873671044403,1029,0.6435272045028143,1.0252672497570456,0.970727503894428,1.0862349179011521,0.26459261581174576,0.25125014440611954,1.0531043332817334,"{""ENSEMBLE_AMBIGUOUS"":41875,""LOST/TRANSITION"":9931,""MERGE"":3008,""SPLIT"":7276,""VALID_CANONICAL_BASE"":27266}",31895,False,False,"[""validation_episode_count"",""holdout_episode_count"",""validation_modest_enrichment"",""holdout_modest_enrichment"",""swing_duration_ceiling""]"
P_PRICE_PULLBACK_20,P,V3_INDEPENDENT_SWING_PULLBACK_UNIVERSE,Price-only eligible observation at least 5% below the trailing 20-session economic-price high; boundary fixed before evaluation and not fitted to wave outcomes.,False,False,False,47518,5671,494,11.342,95.036,4.0,1.0,12.0,63,0.391897798781041,929,0.5809881175734835,677,0.42338961851156975,1.3722304283604136,1.2764354551267725,1.4888113471965445,0.23911303908355794,0.25125014440611954,0.9516931409084357,"{""ENSEMBLE_AMBIGUOUS"":22880,""LOST/TRANSITION"":5316,""MERGE"":1558,""SPLIT"":4010,""VALID_CANONICAL_BASE"":13754}",31895,True,True,[]
P_PRICE_PULLBACK_STABILIZING,P,V3_INDEPENDENT_SWING_STABILIZATION_UNIVERSE,Fixed price-only 20-session pullback state plus nonnegative one-session economic-price change; no chip or temporal input.,False,False,False,19595,12372,494,24.744,39.19,1.0,1.0,2.0,8,0.16160691458214776,8,0.0050031269543464665,200,0.12507817385866166,0.04,0.013982836988880603,0.06919310137248581,0.2337775054883341,0.25125014440611954,0.9304571985059529,"{""ENSEMBLE_AMBIGUOUS"":9381,""LOST/TRANSITION"":2221,""MERGE"":638,""SPLIT"":1706,""VALID_CANONICAL_BASE"":5649}",31895,False,False,"[""validation_wave_count"",""holdout_wave_count"",""validation_modest_enrichment"",""holdout_modest_enrichment""]"
C_TEMPORAL_STATE_STRATIFIED,C,STRATIFIED_RESEARCH_CANDIDATE_INTAKE,Same intake as B with an explicit non-substitutable temporal_state carried on every candidate.,False,False,False,88695,561,492,1.122,177.39,184.0,184.0,184.0,184,0.7314991216567286,1047,0.6547842401500938,1018,0.6366479049405879,1.0284872298624754,0.9784032696047146,1.0838303114859071,0.264997462358315,0.25125014440611954,1.0547156618942053,"{""ENSEMBLE_AMBIGUOUS"":41479,""LOST/TRANSITION"":9869,""MERGE"":2989,""SPLIT"":7237,""VALID_CANONICAL_BASE"":27121}",32556,False,False,"[""v3_independent_candidate_layer"",""validation_episode_count"",""holdout_episode_count"",""validation_modest_enrichment"",""holdout_modest_enrichment"",""swing_duration_ceiling""]"
C_ENSEMBLE_AMBIGUOUS,C,EXPLICIT_AMBIGUITY_HYPOTHESIS,Candidate-first intake currently in ENSEMBLE_AMBIGUOUS state; canonical_base remains null.,False,False,False,41479,9671,492,19.342,82.958,2.0,1.0,5.0,62,0.34209202398330735,546,0.34146341463414637,470,0.2939337085678549,1.1617021276595747,1.0312995323217395,1.2938962803679388,0.2653159671972986,0.25125014440611954,1.0559833421167837,"{""ENSEMBLE_AMBIGUOUS"":41479}",32556,False,False,"[""v3_independent_candidate_layer""]"
C_PERSISTENT_AMBIGUITY_20,C,EXPLICIT_PERSISTENCE_HYPOTHESIS,"Candidate-first intake with ensemble ambiguity on at least 50% of the trailing 20 observations; fixed semantic boundary, not discovery-fitted.",False,False,False,57090,1113,487,2.226,114.18,35.0,16.0,77.0,184,0.47084147759606104,706,0.44152595372107567,615,0.38461538461538464,1.1479674796747967,1.0434693646848623,1.2714033997310796,0.27334384858044164,0.25125014440611954,1.0879350904515699,"{""ENSEMBLE_AMBIGUOUS"":36617,""LOST/TRANSITION"":6553,""MERGE"":2089,""SPLIT"":4889,""VALID_CANONICAL_BASE"":6942}",32556,True,False,"[""v3_independent_candidate_layer"",""swing_duration_ceiling""]"
D_ANY_1_BASE_FREE_COMPONENT,D,BASE_FREE_ACCUMULATION_EVIDENCE,Candidate-first intake with at least one of four exactly observable base-free accumulation predicates true; sticky-base is unavailable unless canonical identity exists.,False,False,False,67296,10358,492,20.716,134.592,2.0,1.0,4.0,155,0.5550139792661504,608,0.3802376485303315,695,0.4346466541588493,0.8748201438848922,0.7991383065338704,0.9507599643546605,0.2647163753121655,0.25125014440611954,1.0535969081246745,"{""ENSEMBLE_AMBIGUOUS"":31461,""LOST/TRANSITION"":7540,""MERGE"":2307,""SPLIT"":5460,""VALID_CANONICAL_BASE"":20528}",32556,False,False,"[""v3_independent_candidate_layer"",""validation_modest_enrichment"",""holdout_modest_enrichment""]"
D_ANY_2_BASE_FREE_COMPONENTS,D,BASE_FREE_ACCUMULATION_CONJUNCTION,Candidate-first intake with at least two of four exactly observable base-free accumulation predicates true; fixed conjunction diagnostic.,False,False,False,32479,10817,490,21.634,64.958,1.0,1.0,3.0,49,0.267865832034375,215,0.1344590368980613,277,0.1732332707942464,0.776173285198556,0.6440623087479201,0.9285510316428208,0.2768558145263093,0.25125014440611954,1.101913056331625,"{""ENSEMBLE_AMBIGUOUS"":15102,""LOST/TRANSITION"":3700,""MERGE"":1163,""SPLIT"":2703,""VALID_CANONICAL_BASE"":9811}",32556,False,False,"[""v3_independent_candidate_layer"",""holdout_wave_count"",""validation_modest_enrichment"",""holdout_modest_enrichment""]"
